,Address,Price per month €,Capacity,Link
2606,"20 Hanover Quarter, Grand Canal Dock, Dublin 2, Co. Dublin",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/20-Hanover-Quarter-Grand-Canal-Dock-Dublin-2-Co-Dublin/5422808
506,"20 Hanover Quarter, Grand Canal Dock, Dublin 2",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/20-Hanover-Quarter-Grand-Canal-Dock-Dublin-2/5422808/
110,"Belgrove Park, Mount Prospect Lawns, Clontarf, Dublin 3",2500.0,"3 bedrooms (3 double), 3 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Belgrove-Park-Mount-Prospect-Lawns-Clontarf-Dublin-3/5482967/
6198,"18 Pakenham House, Spencer Dock, IFSC, Dublin 1",2500.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-18-pakenham-house-spencer-dock-ifsc-dublin-1/3430777
6199,"Tullyhall Rise, Lucan, Co. Dublin",2500.0,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-tullyhall-rise-lucan-co-dublin/3432256
3371,"2 Bed Apartment, Sanderling, Thornwood,",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bed-Apartment-Sanderling-Thornwood/3608891
3262,"Fumbally Studios, Fumbally Lane",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Fumbally-Studios-Fumbally-Lane/4466003
6200,"25 Saint John's, Park Avenue, Sandymount, Dublin 4",2500.0,"2 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-25-saint-johns-park-avenue-sandymount-dublin-4/3250883
3361,98 Old County Rd. Crumlin,2500.0,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/98-Old-County-Rd-Crumlin/3782020
4516,"Node Living, 25 pembroke street upper, Dublin 2",2500.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-2-bedroom-2-bathroom-apartment-node-living-25-pembroke-street-upper-dublin-2/3147121
