Address,Price per month €,Beds,Capacity,Link
"Apartment K, Whitehall House, Dublin",1350.0,1,furnished studio,https://www.let.ie/property-to-rent/Apartment-K-Whitehall-House/6176142
"Flat 5 No90 Drumcondra Road Lower, Drumcondra, Dublin 3",1350.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-flat-5-no90-drumcondra-road-lower-drumcondra-dublin-3/3497000
"Portobello Harbour, Dublin 8",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Portobello-Harbour-Dublin-8/6196662/
"Fingal Street, Dublin 8",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Fingal-Street-Dublin-8/6060361/
"Red Arches Drive, The Coast, Dublin",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Red-Arches-Drive-The-Coast/6195108
"Portobello Harbour, Dublin",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/Portobello-Harbour/6196662
"North Circular Road Studio, Dublin 7",1350.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/North-Circular-Road-Studio-Dublin-7/6202860/
"74, Carrigmore Crescent, Citywest, Dublin 24, Citywest,   Dublin 24, D24HT21",1350.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/74-carrigmore-crescent-citywest-dublin-24-citywest-dublin-24-d24ht21/4528795
"Flat 5 No90 Drumcondra Road Lower, Dublin",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Flat-5-No90-Drumcondra-Road-Lower/5974362
"Springfield Crescent, Templeogue, Templeogue, Dublin 6w",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Springfield-Crescent-Templeogue-Templeogue-Dublin-6w/6097087/
"Apartment 13, Altham Court, Inchicore, Dublin 8",1350.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-13-altham-court-inchicore-dublin-8/3540304
"Apartment 76, Stewart Hall, Ryder's Row, Dublin 1",1350.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-76-stewart-hall-ryders-row-dublin-1/3439365
"Fingal Street, Dublin 8",1350.0,1,"1 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-fingal-street-dublin-8/3510674
"North Circular Road Studio, Dublin 7",1350.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-north-circular-road-studio-dublin-7/3542878
"Springfield Crescent, Templeogue, Dublin 6W",1350.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-springfield-crescent-templeogue-dublin-6w/3519079
"Red Arches Drive, The Coast, Baldoyle, Dublin 13",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Red-Arches-Drive-The-Coast-Baldoyle-Dublin-13/6195108/
"Apartment K, Whitehall House, Dublin 8",1350.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Apartment-K-Whitehall-House-Dublin-8/6176142/
"Flat 5 No90 Drumcondra Road Lower, Drumcondra, Dublin 3",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Flat-5-No90-Drumcondra-Road-Lower-Drumcondra-Dublin-3/5974362/
"Apartment 13, Altham Court, Inchicore, Dublin 8",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/Apartment-13-Altham-Court-Inchicore-Dublin-8/6192687/
"Portobello Harbour, Dublin 8",1350.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-portobello-harbour-dublin-8/3541389
"Fingal Street, Dublin",1350.0,1,"1 bedroom (1 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/Fingal-Street/6060361
"Red Arches Drive, The Coast, Baldoyle, Dublin 13",1350.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-red-arches-drive-the-coast-baldoyle-dublin-13/3540984
"Reuben street, Dublin 8",1352.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-reuben-street-dublin-8/3540428
"Reuben street, Dublin",1352.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Reuben-street/6193229
"Reuben street, Dublin 8",1352.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Reuben-street-Dublin-8/6193229/
"From Here - Student Living, Cork Street, Cork Stre, Dublin",1360.0,1,furnished studio,https://www.let.ie/property-to-rent/From-Here---Student-Living-Cork-Street-Cork-Stre/2018955
"Castlemill - 2, Hamlet Lane, Dublin",1360.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Castlemill---2-Hamlet-Lane/6149244
"Castlemill - 2, Hamlet Lane, Balbriggan, Co. Dublin",1360.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Castlemill---2-Hamlet-Lane-Balbriggan-Co-Dublin/6149244/
"Castlemill - 2, Hamlet Lane, Balbriggan, Co. Dublin",1360.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-castlemill-2-hamlet-lane-balbriggan-co-dublin/3531628
"Bronze Studio - 2021/22 Tenancy, From Here - Student Living, Cork Street, Cork Stre, Dublin 8",1360.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Bronze-Studio---202122-Tenancy-From-Here---Student-Living-Cork-Street-Cork-Stre-Dublin-8/2018955/
"Belgrave Court, Mount pleasant Avenue Upper, Ranelagh, Dublin 6",1360.12,1,"1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/belgrave-court-mount-pleasant-avenue-upper-ranelagh-dublin-6/3482464
"400 South Circular Road, Dublin 8",1375.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/400-South-Circular-Road-Dublin-8/6175937/
"400 South Circular Road, Dublin 8",1375.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-400-south-circular-road-dublin-8/3537537
"The Chandler, Dublin",1377.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/The-Chandler/5979804
"The Chandler, Dublin 7",1377.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Chandler-Dublin-7/5979804/
"The Chandler, Dublin 7",1377.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-the-chandler-dublin-7/3497572
"28 Castlegate Park, Adamstown, Co. Dublin",1381.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-28-castlegate-park-adamstown-co-dublin/3532650
"28 Castlegate Park, Adamstown, Co. Dublin",1381.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/28-Castlegate-Park-Adamstown-Co-Dublin/6154046/
"28 Castlegate Park, Dublin",1381.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/28-Castlegate-Park/6154046
"Allendale Square, Dublin",1387.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Allendale-Square/6155345
"Allendale Square, Clonsilla, Dublin 15",1387.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-allendale-square-clonsilla-dublin-15/3533049
"Allendale Square, Clonsilla, Dublin 15",1387.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Allendale-Square-Clonsilla-Dublin-15/6155345/
"16 Addison Road, Fairview, Dublin 3",1395.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-16-addison-road-fairview-dublin-3/3476533
"16 Addison Road, Fairview, Dublin",1395.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/16-Addison-Road-Fairview/5780447
"16 Addison Road, Fairview, Fairview, Dublin 3",1395.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/16-Addison-Road-Fairview-Fairview-Dublin-3/5780447/
"Apartment 18 St Nicholas house 129  Church St. Smi, Dublin 7",1396.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-18-st-nicholas-house-129-church-st-smi-dublin-7/3536972
"Apartment 18 St Nicholas house 129 Church St. Smi, Dublin 7",1396.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-18-St-Nicholas-house-129-Church-St-Smi-Dublin-7/6173926/
"Clontarf Road, Clontarf, Dublin 3",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-clontarf-road-clontarf-dublin-3/3537002
"2A Bancroft Road, Tallaght, Tallaght, Dublin 24, Tallaght, Dublin 24",1400.0,1,"1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/2a-bancroft-road-tallaght-tallaght-dublin-24-tallaght-dublin-24/4510823
"Apt 3, 67 Lower Dorset Street, Dublin 1",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apt-3-67-lower-dorset-street-dublin-1/3219332
"Woodford Court, Dublin",1400.0,1,furnished studio,https://www.let.ie/property-to-rent/Woodford-Court/6045316
"The Hardwicke, Church street, Smithfield, Dublin 1",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-the-hardwicke-church-street-smithfield-dublin-1/3521395
"Apartment 8, Newtown House, Eaton Brae, Dublin",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apartment-8-Newtown-House-Eaton-Brae/6083865
"72-74 Queen Street, Smithfield, Dublin 1, Dublin",1400.0,1,"1 bed, Apartment",https://www.myhome.ie/rentals/brochure/72-74-queen-street-smithfield-dublin-1-dublin/4452245
"Custom Hall, Gardiner Street Lower, Dublin 1, Dublin",1400.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/custom-hall-gardiner-street-lower-dublin-1-dublin/4429310
"67 Lower Dorset Street, North City Centre, Dublin 1, D01 YF74",1400.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/67-lower-dorset-street-north-city-centre-dublin-1-d01-yf74/4500178
"51 The Waxworks, Ashtown, Dublin 15, Co. Dublin",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/51-The-Waxworks-Ashtown-Dublin-15-Co-Dublin/6085086
"23 Nottingham Street, North Strand, Dublin",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-23-nottingham-street-north-strand/3542736
"Woodford Court, Clondalkin, Dublin 22",1400.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-woodford-court-clondalkin-dublin-22/3506401
"318 South Circular Road, Dublin",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/318-South-Circular-Road/6173918
"Flat 1, 2 Cheltenham Place, Dublin",1400.0,1,furnished studio,https://www.let.ie/property-to-rent/Flat-1-2-Cheltenham-Place/6175939
"Finglas Road, Dublin",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Finglas-Road/6155341
"The Academy, Park West, Dublin 12",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/The-Academy-Park-West-Dublin-12/6175950
"Old Kilmainham Village, Dublin",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Old-Kilmainham-Village/6199829
"Lanesborough Mews, Dublin",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Lanesborough-Mews/6127653
"Flat 1, 2 Cheltenham Place, Rathmines, Dublin 6",1400.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-flat-1-2-cheltenham-place-rathmines-dublin-6/3537542
"Parnell Square, Dublin 1",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-parnell-square-dublin-1/3479334
"The Academy, Park West, Dublin 12",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-the-academy-park-west-dublin-12/3537567
"Old Kilmainham Village, Kilmainham, Dublin 8",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-old-kilmainham-village-kilmainham-dublin-8/3541945
"Apartment 8, Newtown House, Eaton Brae, Churchtown, Dublin 14",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-8-newtown-house-eaton-brae-churchtown-dublin-14/3515960
"Cabra Road, Phibsborough, Dublin 7",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-cabra-road-phibsborough-dublin-7/3525785
"51 The Waxworks, Ashtown, Dublin 15",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-51-the-waxworks-ashtown-dublin-15/3516269
"Finglas Road, Glasnevin, Dublin 11",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-finglas-road-glasnevin-dublin-11/3533039
"22A Oakdale Drive, Cabinteely, Dublin 18",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-22a-oakdale-drive-cabinteely-dublin-18/3466232
"Apt 3, 67 Lower Dorset Street, Dublin 1",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apt-3-67-Lower-Dorset-Street-Dublin-1/4796497
"318 South Circular Road, Dublin 8",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-318-south-circular-road-dublin-8/3536955
"The Hardwicke, Church street, Dublin",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/The-Hardwicke-Church-street/6109769
"8 Glenmalure Court, Rialto, Dublin 8",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-8-glenmalure-court-rialto-dublin-8/3535855
"Flat 1, 54 South Circular Road, Dublin",1400.0,1,furnished studio,https://www.let.ie/property-to-rent/Flat-1-54-South-Circular-Road/6175369
"Emor St, Portobello, Dublin 8",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-emor-st-portobello-dublin-8/3432789
"Flat 1, 54 South Circular Road, Dublin 8",1400.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-flat-1-54-south-circular-road-dublin-8/3537435
"Lanesborough Mews, Finglas, Dublin 11",1400.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-lanesborough-mews-finglas-dublin-11/3526528
"Flat 1, 2 Cheltenham Place, Rathmines, Dublin 6",1400.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-1-2-Cheltenham-Place-Rathmines-Dublin-6/6175939/
"Flat 1, 54 South Circular Road, Dublin 8",1400.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-1-54-South-Circular-Road-Dublin-8/6175369/
"Emor St, Portobello, Dublin 8",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Emor-St-Portobello-Dublin-8/5453448/
"The Academy, Park West, Dublin 12, Park West, Dublin 12",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Academy-Park-West-Dublin-12-Park-West-Dublin-12/6175950/
"23 Nottingham Street, North Strand, Dublin 3",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/23-Nottingham-Street-North-Strand-Dublin-3/6202415/
"The Hardwicke, Church Street, Smithfield, Dublin 1",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Hardwicke-Church-Street-Smithfield-Dublin-1/6109769/
"Finglas Road, Glasnevin, Dublin 11",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Finglas-Road-Glasnevin-Dublin-11/6155341/
"318 South Circular Road, Dublin 8",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/318-South-Circular-Road-Dublin-8/6173918/
"51 The Waxworks, Ashtown, Dublin 15",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/51-The-Waxworks-Ashtown-Dublin-15/6085086/
"8 Glenmalure Court, Rialto, Dublin 8",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/8-Glenmalure-Court-Rialto-Dublin-8/6167916/
"Cabra Road, Phibsborough, Dublin 7",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Cabra-Road-Phibsborough-Dublin-7/6125495/
"Lanesborough Mews, Finglas, Dublin 11",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Lanesborough-Mews-Finglas-Dublin-11/6127653/
"Clontarf Road, Clontarf, Dublin 3",1400.0,1,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Clontarf-Road-Clontarf-Dublin-3/6173941/
"Apartment 8, Newtown House, Eaton Brae, Churchtown, Dublin 14",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-8-Newtown-House-Eaton-Brae-Churchtown-Dublin-14/6083865/
"Woodford Court, Clondalkin, Dublin 22",1400.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Woodford-Court-Clondalkin-Dublin-22/6045316/
"Old Kilmainham Village, Kilmainham, Dublin 8",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Old-Kilmainham-Village-Kilmainham-Dublin-8/6199829/
"Parnell Square, Dublin 1",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Parnell-Square-Dublin-1/5812210/
"Apt 3, 67 Lower Dorset Street, Dublin 1, Dublin 1",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apt-3-67-Lower-Dorset-Street-Dublin-1-Dublin-1/4796497/
"22a Oakdale Drive, Cabinteely, Dublin 18",1400.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/22a-Oakdale-Drive-Cabinteely-Dublin-18/5672309/
"Apartment 146, The Old Distillery, Dublin",1418.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apartment-146-The-Old-Distillery/6166974
"Apartment 146, The Old Distillery, Smithfield, Dublin 1",1418.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-146-the-old-distillery-smithfield-dublin-1/3535646
"Apartment 146, The Old Distillery, Smithfield, Dublin 1",1418.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-146-The-Old-Distillery-Smithfield-Dublin-1/6166974/
"Apt 24 Clarinda House, Clarinda Park West, Dun Laoghaire, Dublin",1436.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/apt-24-clarinda-house-clarinda-park-west-dun-laoghaire-dublin/2620078
"29 Castlegate Way, Lucan, Co. Dublin",1440.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/29-Castlegate-Way-Lucan-Co-Dublin/6114916/
"Silver Studio - 2021/22 Tenancy, From Here - Student Living, Cork Street, Cork Stre, Dublin 8",1440.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Silver-Studio---202122-Tenancy-From-Here---Student-Living-Cork-Street-Cork-Stre-Dublin-8/2018956/
"29 Castlegate Way,, Dublin",1440.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/29-Castlegate-Way/6114916
"29 Castlegate Way, Adamstown, Dublin",1440.0,1,"1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/29-castlegate-way-adamstown-dublin/4093124
"29 Castlegate Way, Lucan, Co. Dublin",1440.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-29-castlegate-way-lucan-co-dublin/3523343
"From Here - Student Living, Cork Street, Cork Stre, Dublin",1440.0,1,furnished studio,https://www.let.ie/property-to-rent/From-Here---Student-Living-Cork-Street-Cork-Stre/2018956
"Spencer House, Custom House Square, IFSC, Dublin 1",1447.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/spencer-house-custom-house-square-ifsc-dublin-1/3485942
"12 Killaloe House, Clare Village, Clarehall, Dublin 13",1448.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-12-killaloe-house-clare-village-clarehall-dublin-13/3539319
"12 Killaloe House, Clare Village, Clarehall, Dublin 13",1448.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/12-Killaloe-House-Clare-Village-Clarehall-Dublin-13/6188026/
"12 Killaloe House, Clare Village, Dublin",1448.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/12-Killaloe-House-Clare-Village/6188026
"Shelmartin House, Fairview, Dublin 3",1450.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/shelmartin-house-fairview-dublin-3/4444920
"Kenilworth Square South, Rathgar, Dublin 6",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-kenilworth-square-south-rathgar-dublin-6/3477581
"Flat 4 90 Drumcondra Road lower, Dublin",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Flat-4-90-Drumcondra-Road-lower/5989147
"Flat 4 90 Drumcondra Road Lower, Drumcondra, Dublin 3",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Flat-4-90-Drumcondra-Road-Lower-Drumcondra-Dublin-3/5989147/
"Bachelors Walk, Dublin 1, Dublin",1450.0,1,"1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/bachelors-walk-dublin-1-dublin/3485933
"the Island, Chapelizod, Dublin 20",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-the-island-chapelizod-dublin-20/3541893
"Tolka Valley, Finglas, Dublin 11",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Tolka-Valley-Finglas-Dublin-11/6127682/
"Melville Cove, Meakstown, Finglas, Dublin 11",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Melville-Cove-Meakstown-Finglas-Dublin-11/6126138/
"Lower Gardiner street, Dublin 1",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Lower-Gardiner-street-Dublin-1/5662226/
"The Island, Chapelizod, Chapelizod, Dublin 20",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Island-Chapelizod-Chapelizod-Dublin-20/6199498/
"Slade Castle Court, Saggart, Co. Dublin",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Slade-Castle-Court-Saggart-Co-Dublin/6113521/
"Slade Castle Court, Dublin",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Slade-Castle-Court/6113521
"Flat 4 90 Drumcondra Road lower, Drumcondra, Dublin 3",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-flat-4-90-drumcondra-road-lower-drumcondra-dublin-3/3498687
"Flat 10, 103 Rathmines Road Upper, Rathmines, Dublin 6",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-flat-10-103-rathmines-road-upper-rathmines-dublin-6/3541971
"Kenilworth Square South, Rathgar, Dublin 6",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Kenilworth-Square-South-Rathgar-Dublin-6/5790795/
"Slade Castle Court, Saggart, Co. Dublin",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-slade-castle-court-saggart-co-dublin/3522669
"Tolka Valley, Dublin",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/Tolka-Valley/6127682
"23 Nottingham Street, North Strand, Dublin 3",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/23-Nottingham-Street-North-Strand-Dublin-3/6163173/
"Apartment 13, 539 North Circular Road, Dublin 1, Co. Dublin",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apartment-13-539-North-Circular-Road-Dublin-1-Co-Dublin/6152960
"21 Fitzgibbon Street, Dublin",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/21-Fitzgibbon-Street/6172807
"Apartment 13, 539 North Circular Road, Dublin 1",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-13-539-North-Circular-Road-Dublin-1/6152960/
"Flat 10, 103 Rathmines Road Upper, Dublin",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Flat-10-103-Rathmines-Road-Upper/6199860
"Melville Cove, Meakstown, Dublin",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Melville-Cove-Meakstown/6126138
"Flat 5, 37 Chelmsford Road, Ranelagh, Dublin",1450.0,1,furnished studio,https://www.let.ie/property-to-rent/Flat-5-37-Chelmsford-Road-Ranelagh/6200799
"Flat 5, 37 Chelmsford Road, Ranelagh, Dublin 6",1450.0,1,Studio,https://www.daft.ie//for-rent/studio-apartment-flat-5-37-chelmsford-road-ranelagh-dublin-6/3542269
"Melville Cove, Meakstown, Finglas, Dublin 11",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-melville-cove-meakstown-finglas-dublin-11/3525933
"Flat 10, 103 Rathmines Road Upper, Rathmines, Dublin 6",1450.0,1,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Flat-10-103-Rathmines-Road-Upper-Rathmines-Dublin-6/6199860/
"Tolka Valley, Finglas, Dublin 11",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-tolka-valley-finglas-dublin-11/3526580
"Flat 5, 37 Chelmsford Road, Ranelagh, Ranelagh, Dublin 6",1450.0,1,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-5-37-Chelmsford-Road-Ranelagh-Ranelagh-Dublin-6/6200799/
"Lower Gardiner street, Dublin 1",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-lower-gardiner-street-dublin-1/3465051
"23 Nottingham Street, North Strand, Dublin",1450.0,1,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-23-nottingham-street-north-strand/3534976
